date,ABY,AU,AUR,BAY,BITB,BLC,BLK,BLOCK,BSD,BSTY,BTB,BTS,BURST,CANN,CBX,CDN,CLAM,CLOAK,COVAL,CRW,CURE,DASH,DEM,DGB,DGC,DMD,DOGE,DOPE,DOT,DP,EFL,EMC,EMC2,FAIR,FLDC,FLO,FST,FTC,GAME,GLD,GRC,GRS,HYP,IOC,LTC,MAID,MINT,MONA,MUE,NAV,NEOS,NLG,NMC,NOBL,NVC,NXS,NXT,NYAN,OK,OMNI,ORB,PINK,PND,POT,PPC,PTC,PXI,QTL,RBY,RDD,SLR,SMC,SPR,START,SYS,TEK,THC,TIPS,TRC,TROLL,UIS,UNO,USDT,USNBT,VIA,VRC,VTC,WDC,XBC,XCP,XDN,XJO,XLM,XMG,XMR,XMY,XPM,XRP,XST,XVG,XWC,ZEIT,ZET
11/15/16,-5.881088221,0.041150512,-1.205554249,0.216940977,1.09442726,-0.367413017,-0.153200767,-3.372954691,2.030159048,1.755753305,14.76223807,-1.613280337,-2.446982055,-7.064160726,1.043283582,-1.241134752,-0.631697324,17.6862681,3.225806452,33.15147899,-0.417488645,-0.41322314,7.078367642,3.636363636,0.325795324,-4.149374518,-0.448430493,-0.350262697,8.092485549,1.666666667,1.498929336,-1.898457471,3.177966102,1.680102464,-11.84895833,0.694444444,19.04761905,0.696336664,5.357624831,1.383063145,0.403496974,-3.707995365,3.571428571,-11.06118635,0.257731959,1.890599972,-7.5,-1.10185434,-4.522613065,-7.395057899,3.286364622,-8.094317106,1.366057061,-12.26415094,1.032287103,3.12352106,-3.645760581,-2.272727273,0.788131664,-10.86350975,53.47798431,-2.314049587,20,-7.651096601,0.601026498,10.52631579,-8.900083963,-1.512287335,0.877528457,2.380952381,13.44542058,-3.202328967,-7.973867908,-2.763476681,10.48910524,50,0.945626478,0,-1.34643377,-14.28571429,-7.772020725,4.046242775,0,-0.7195,39.6373057,25.96491228,5.422237265,1.011653221,16.66666667,-5.791505792,0,-7.348242812,-1.436170213,-1.668275196,-5.317769131,8.230452675,0.354622079,-2.679673994,3.273116384,0,5.483870968,27.27272727,3.723608445
11/16/16,6.52642423,50.00940607,-5.892457007,-5.625778999,-19.67739855,0.029685819,-8.346139854,-6.332410953,1.891497516,3.44518684,-5.410153287,-3.826045627,-2.842809365,0.069735007,26.71088199,4.488330341,0.841575696,-11.05435676,19.84375,-17.52240717,1.379802819,-1.970954357,-11.90556492,-3.50877193,3.256924546,7.081886854,-0.45045045,-8.435852373,3.475935829,-2.459016393,-2.894082008,1.09578986,0.102669405,-3.523266153,-6.499261448,0.52545156,-24,-8.268190018,0.457631263,4.09258638,-2.344273275,4.813477738,3.448275862,0.715676397,3.341902314,-6.153293888,-27.02702703,-6.180124224,8.684210526,6.49510146,2.848787586,4.936419808,-1.372644468,-4.301075269,1.419298292,4.441749164,-2.000579878,4.651162791,4.484820607,7.8125,-35.77980806,-5.076142132,-66.66666667,-12.73567803,-2.366500924,-4.285714286,-19.03225806,4.296471283,14.04859555,-13.95348837,-3.748868812,0,3.656520471,-7.879778868,-1.720339872,4.761904762,6.323185012,0,1.586130579,25,4.494382022,7.222222222,0,0.72471432,-4.535988793,-13.8724785,-4.677818088,3.004563895,-21.9047619,-9.426229508,1.704545455,2.413793103,-4.3712898,-0.565526267,-9.863013699,-3.802281369,1.350313252,-0.494861058,1.37136588,4.761904762,0,-50,3.40488527
11/17/16,-12.21861323,12.71572246,3.975313118,-7.533802119,-11.52193556,-2.479715602,4.903520537,-2.408386365,-2.912782188,0.057930039,8.827527481,2.594514455,2.237521515,4.843205575,6.089855681,2.577319588,-2.770345409,6.93031917,0.521512386,15.60971823,12.74908546,-4.55026455,-2.833078101,-0.727272727,-2.349458884,-2.166119721,1.357466063,-9.021113244,-0.258397933,0,-4.272742466,2.012758013,-0.820512821,2.515264391,-1.579778831,-3.724273113,34.21052632,-0.196656834,-1.009620957,-17.31120421,-3.566529492,6.314580941,23.33333333,0.365975656,-1.990049751,-1.940249291,11.11111111,-2.176431645,12.95399516,-10.36850658,-3.047411741,-0.829902076,-0.132505102,-7.865168539,-1.6930742,1.58814852,1.405325444,-2.222222222,-5.811138015,4.057971014,-8.076983751,1.782531194,250,4.009556456,-2.846895927,-0.497512438,-8.423449061,-3.095507739,-3.019533894,2.702702703,3.688347719,29.62406015,2.124964818,-4.851660891,-4.867114954,-31.81818182,-5.286343612,50,2.832244009,-2.222222222,-0.537634409,-6.735751295,0,-0.0014,-12.60460873,-3.205743327,-4.927585045,-3.236923077,4.87804878,7.239819005,-4.469273743,7.407407407,2.708803612,-4.404230317,3.191489362,-0.395256917,-1.751726461,-1.466462637,-10.91269841,0,-0.305810398,42.85714286,-5.29706514
11/18/16,-26.28080122,-34.92704638,-6.607898999,14.87221477,1.252875436,-1.575351272,-2.686536909,1.111537556,5.51725367,4.525891517,-1.739740516,-1.685934489,-6.397306397,-5.117979395,-18.63173857,0.167504188,5.256995826,12.352189,-6.35538262,-14.09292332,-14.56611987,-0.776053215,7.998423956,-3.663003663,0.14208582,-5.290173547,-2.678571429,7.805907173,1.554404145,7.56302521,-1.030027933,-4.524633835,0.930713547,3.629757267,2.568218299,2.273498473,-13.7254902,4.532019704,-1.586084146,20.30529393,4.148885728,-5.399568035,-18.91891892,0.024829651,0.507614213,-7.607876897,6.666666667,-0.135352339,-0.107181136,-3.652260366,0.578123904,-4.917821186,1.333487682,1.219512195,3.050333786,4.473692341,-0.816921955,2.272727273,8.857209628,4.735376045,-4.084434529,-6.479859895,-71.42857143,5.832417857,2.77004527,1.5,-5.593536358,1.421893261,5.836968715,-10.52631579,-0.025270168,-27.49419954,-0.013779799,15.18166474,-1.581958936,53.33333333,-9.069767442,0,27.96610169,2.272727273,1.621621622,3.888888889,0,0.00140002,-6.680281371,-0.565448871,1.707584936,1.589926227,2.906976744,-5.485232068,1.169590643,-10.34482759,-0.714285714,5.806863998,-1.030927835,-8.333333333,4.004800274,0.660023295,-0.229466154,4.545454545,-3.067484663,10,-1.851851852
11/19/16,18.06757644,-0.059614582,0.045957482,1.84493328,7.890430355,0.384019741,-0.389678394,-0.916365566,0.519115495,-8.58353058,-0.042698069,1.445369917,-2.517985612,-2.276707531,-0.15800135,0.16722408,-1.28394963,-2.475666067,-1.108033241,14.88081282,-3.311789404,-5.251396648,-19.88325429,3.041825095,3.868709799,-8.044588692,0.917431193,2.935420744,-2.551020408,0,1.816898924,-3.011166075,-3.68852459,-1.912163383,-2.503912363,0.597213006,27.27272727,-3.000314169,2.135773311,-3.655310188,3.346232643,-12.043379,0,0.7110156,-0.252525253,0.168879571,-6.25,4.701397713,2.038626609,-10.19150809,-1.852756114,-1.472917327,-1.498282029,0,-1.701417691,-0.106461629,-2.529783792,0,-5.452984113,1.063829787,14.8847574,-6.367041199,250,-0.405775219,-3.318806309,0,-4.542462146,-0.945842136,1.881337369,11.76470588,-2.945462115,-3.84,-1.589489158,-0.778960358,3.511171911,-34.7826087,11.50895141,0,-4.60816777,-15.55555556,-4.255319149,-5.347593583,0,0,5.79681953,-13.67379343,-3.288167474,-0.237886566,6.214689266,0.446428571,0,12.93706294,-0.608743774,-2.035410567,-2.529761905,4.329004329,-2.124748624,0.269992286,-1.724954339,0,4.746835443,9.090909091,4.774740085
11/20/16,-16.06810296,-9.036255113,-0.531604833,-6.82734077,-7.214311381,-0.476281611,-0.536401614,4.224624692,-9.109698115,3.615149206,-4.987222785,-1.7145617,-8.302583026,-4.516129032,-1.126695792,-3.005008347,-1.69639848,1.54155645,-0.700280112,-10.93271651,-7.570139058,0.353773585,5.191256831,0.36900369,-2.841271287,1.205033685,-0.454545455,-5.513307985,-17.27748691,-3.125,-7.08015708,1.863889407,5.744680851,2.340064858,-4.81540931,-3.001319261,-21.42857143,-1.765182186,0.972745647,0.056041246,-1.982378855,6.748864374,-3.333333333,-6.986366005,-0.759493671,2.668449509,-3.333333333,-0.618932039,-12.30283912,-5.025176574,-3.098835804,-7.490757113,-2.437729722,-3.614457831,-0.626420414,-10.72263833,-2.338916553,28.88888889,-2.0208901,-2.894736842,-17.88191986,-0.6,0,-3.278377866,-1.592454539,-4.679802956,-6.206896552,-2.181183656,-1.164020552,0,-1.620834929,5.324459235,-1.713192046,1.780023319,11.35462555,0,-14.44954128,0,-6.739947932,-2.631578947,0.555555556,-2.259887006,0,0,3.203861181,10.60826418,-2.89213038,-2.083333333,-9.574468085,-1.777777778,-4.046242775,2.167182663,-2.004454343,-7.224514966,0.458015267,5.809128631,-3.044950065,-1.89767919,-14.55121145,-4.347826087,-11.78247734,-16.66666667,-1.286291804
11/21/16,10.01296923,10.47111866,4.853940992,10.11408598,-1.111937775,-3.199135894,-0.139503238,1.464369188,-26.28205183,1.936634471,-9.191023638,-1.498771499,10.46277666,-0.675675676,-33.08481532,-0.344234079,-0.959949619,-2.52733661,-2.961918195,1.32141766,7.282181223,0.822561692,2.380952381,1.102941176,-5.689380448,-1.361501168,1.369863014,10.06036217,-1.898734177,1.612903226,-2.18769422,-4.375852238,9.456740443,-4.205826222,-0.168634064,3.672220333,0,0.164853281,3.218362956,-6.469138568,2.292134831,-2.006079027,3.448275862,6.99097121,0.510204082,4.193091733,3.448275862,-1.078682786,0.239808153,0.893111301,-3.654153648,6.426709693,-1.346019322,1.25,1.45566307,17.02755579,0.355377009,-10.34482759,1.205098494,0.27100271,28.00172414,2.615694165,0,-2.811520376,-0.663065136,1.291989664,-4.852941176,-1.952331401,2.035589186,2.631578947,-6.046685457,6.951026856,-12.18237948,-10.03513059,-8.268222728,0,1.072386059,-33.33333333,1.861042184,0,-1.657458564,3.468208092,0,1,-4.95278817,-4.574986465,1.91009569,-5.742117406,3.529411765,0.452488688,-0.602409639,-14.54545455,-0.284090909,3.850086921,3.343465046,-4.31372549,0.033003874,-1.110965887,3.53632995,0,9.246575342,40,-2.233804914
11/22/16,-0.504933816,-9.473216674,-2.816862953,19.48358023,19.66298501,20.17746456,-1.791971317,4.145063631,712.4499965,-5.165945327,0.853651566,0.19955101,-4.189435337,4.875283447,103.9619749,2.590673575,1.485525817,34.04639986,2.61627907,-19.17075009,-18.41017566,0.582750583,5.877378436,-1.454545455,3.239912542,-2.556854356,0.900900901,-14.80804388,-2.903225806,1.587301587,-1.258101411,-1.668338763,-1.286764706,-0.894635943,-7.094594595,-0.131190554,2.272727273,3.209348255,-5.072990253,-3.874483502,-0.812829525,-4.466501241,0,5.165202992,0.253807107,-2.074671884,-23.33333333,2.267303103,-5.622009569,-8.541703403,-0.274064375,1.684004292,1.589618816,11.11111111,-1.527274802,1.657599456,-1.108545035,-1.923076923,-1.831921227,14.05405405,3.215204537,-5.68627451,0,0.745892551,4.91106323,-0.255102041,3.323029366,-8.035578915,0.605199211,0,6.901581198,1.624815362,7.2796106,3.039049236,7.202156334,0,13.52785146,50,0.883069428,2.702702703,3.93258427,4.469273743,0,0,-4.910965323,17.02532928,-4.003348255,4.33777536,6.25,-5.855855856,-3.636363636,1.063829787,-1.13960114,-0.836984885,13.08823529,-10.6557377,0.288254497,-1.744647105,1.937290905,4.545454545,-0.940438871,7.142857143,-8.644325971
11/23/16,-8.061707338,-0.023876751,0.874199716,15.23430991,-17.03129687,-2.847277548,-3.054098465,15.01639392,-86.52529954,-1.896926429,-6.747380575,0.771720189,3.422053232,-1.009009009,-13.76393232,-22.22222222,5.33235543,-5.939466034,-2.124645892,4.719268793,0.117600941,-1.390498262,2.755591054,-3.32103321,-4.861378514,0.878132922,-2.232142857,0.643776824,8.970099668,-18.75,-3.745173745,-1.095367473,-4.283054004,-4.487009293,-0.909090909,4.302134647,0,-2.296284484,6.417389359,-4.167704959,-0.265780731,5.454545455,0,-5.979072741,-0.506329114,2.139438085,30.43478261,-3.126383133,0.887198986,3.142713917,-5.261229351,-7.881457014,-1.356264684,-1.111111111,-0.030183759,4.130780166,1.930562043,1.960784314,-4.222066713,-5.450236967,-5.457535105,0.415800416,-57.14285714,-2.871435718,4.170674404,-1.023017903,5.833956619,-16.08506897,-3.356423461,0,-2.865205123,10.31976744,-5.78241581,-0.963914978,-0.060343961,0,-0.934579439,-33.33333333,-0.875339571,-10.52631579,0.540540541,-0.534759358,0,-1.146039604,-0.21190617,14.23673639,1.391363688,-0.286719666,-13.36898396,3.827751196,3.144654088,-1.754385965,-0.115273775,-1.509359019,2.860858257,-0.458715596,-2.160889289,-5.017487221,2.404213097,-4.347826087,6.012658228,-33.33333333,8.170070863
11/24/16,9.167023866,0.052724614,0.931092063,-11.27137685,3.299254894,-10.33451172,-2.859523495,-4.695132876,-4.707887243,0.982106854,-2.603106074,-0.741106719,-0.551470588,-2.43902439,0.133664977,29.43722944,-1.214144449,0.456889411,1.736613603,-1.674385465,6.535750858,7.285546416,-6.995724835,-1.908396947,-3.915815036,1.577761082,-0.456621005,7.462686567,-5.182926829,27.88461538,6.999598877,0.702401029,-4.280155642,-7.644349138,-0.917431193,-4.880352645,-2.222222222,-1.517871715,0.738585125,0.214522525,-5.240950477,-4.802955665,0,-4.55467724,-0.508905852,-2.665145279,-3.333333333,-1.287589301,-0.628140704,23.45595932,-2.23361052,-1.728087649,0.709885678,-8.988764045,3.632081738,-6.726625445,-1.756529708,0,-8.207501218,3.007518797,-1.52251332,-0.414078675,0,-4.274824887,-0.040491039,-2.325581395,-6.855123675,-1.24426981,-2.40845967,-15.38461538,-2.684756584,-9.222661397,-2.375729038,7.087596706,2.445406058,46.66666667,-0.471698113,0,-1.705237515,8.823529412,-4.301075269,-1.075268817,0,0.157748454,-5.002716184,-8.127444145,2.135058331,-0.954123644,-5.555555556,-5.529953917,-11.58536585,-0.357142857,-2.423542989,-1.698845592,-1.264222503,-4.608294931,-0.615863802,-1.572015295,-0.372661549,0,1.791044776,30,-0.693641618
11/25/16,-8.034120701,0.005278703,-2.685472813,19.63316096,-2.810128199,-20.99006441,-0.098678442,-8.305751814,-1.474021542,-1.505449412,39.47025839,0.472872076,-1.293900185,-0.037313433,11.2453715,-0.836120401,6.433749822,3.922194443,0.284495021,21.79347826,-0.624787968,-0.328587076,-13.20518178,1.556420233,-1.253159225,-2.988335714,0.917431193,-16.07142857,-7.073954984,-33.08270677,-6.591690097,5.909773657,-2.743902439,-4.144988606,-1.296296296,24.69381,0,-0.762346702,5.126698373,1.764400623,4.429341458,1.617076326,-26.66666667,-3.896955995,0.255754476,-3.107947805,-3.448275862,1.077169065,14.15929204,-3.128217552,0.960999571,0.673997872,-2.332768509,9.87654321,0.987782082,-1.024507834,-2.409825871,0,8.331122314,-4.622871046,-4.074681468,0.207900208,33.33333333,4.09986011,-0.763962763,-1.851851852,18.05766313,26.06100796,2.661778384,15.15151515,-3.308292875,-5.805515239,-3.217319814,-8.560553096,-6.552062868,0,-3.317535545,0,2.013630731,0,-1.685393258,1.086956522,0,0,8.094198378,8.361380585,-7.03276588,-4.354711006,3.267973856,2.926829268,9.655172414,2.150537634,1.833234772,-3.78974359,-3.457106274,1.93236715,4.613768297,-0.690647482,6.777885838,0,-2.052785924,15.38461538,1.358168413
